,Unnamed: 0,Susceptible,Exposed,Infected,Recovered,Incidence (E),Incidence (I)
0,0.0,1837098.0,0.0,100.0,0.0,100.0,100
1,1.0,1837098.0,0.0,96.0,4.0,0.0,96
2,2.0,1836619.0,448.0,123.0,8.0,479.0,123
3,3.0,1836364.0,628.0,192.0,14.0,255.0,192
4,4.0,1835912.0,938.0,319.0,29.0,452.0,319
5,5.0,1835212.0,1418.0,521.0,47.0,700.0,521
6,6.0,1834494.0,1831.0,797.0,76.0,718.0,797
7,7.0,1832970.0,2900.0,1201.0,127.0,1524.0,1201
8,8.0,1830513.0,4676.0,1823.0,186.0,2457.0,1823
9,9.0,1826206.0,7874.0,2830.0,288.0,4307.0,2830
10,10.0,1820350.0,11960.0,4452.0,436.0,5856.0,4452
11,11.0,1810745.0,18799.0,6998.0,656.0,9605.0,6998
12,12.0,1795880.0,29298.0,11000.0,1020.0,14865.0,11000
13,13.0,1774331.0,44171.0,17106.0,1590.0,21549.0,17106
14,14.0,1744400.0,64222.0,26058.0,2518.0,29931.0,26058
15,15.0,1704662.0,89414.0,39232.0,3890.0,39738.0,39232
16,16.0,1652979.0,121286.0,56926.0,6007.0,51683.0,56926
17,17.0,1590619.0,157007.0,80254.0,9318.0,62360.0,80254
18,18.0,1520663.0,193226.0,109533.0,13776.0,69956.0,109533
19,19.0,1446803.0,225749.0,144399.0,20247.0,73860.0,144399
20,20.0,1372968.0,251428.0,183909.0,28893.0,73835.0,183909
21,21.0,1303554.0,267123.0,225826.0,40695.0,69414.0,225826
22,22.0,1239439.0,274566.0,267263.0,55930.0,64115.0,267263
23,23.0,1180450.0,275051.0,306296.0,75401.0,58989.0,306296
24,24.0,1127146.0,269198.0,342108.0,98746.0,53304.0,342108
25,25.0,1077404.0,261224.0,372155.0,126415.0,49742.0,372155
26,26.0,1030487.0,251593.0,396846.0,158272.0,46917.0,396846
27,27.0,985707.0,242464.0,415251.0,193776.0,44780.0,415251
28,28.0,942116.0,233161.0,429365.0,232556.0,43591.0,429365
29,29.0,896676.0,227768.0,438787.0,273967.0,45440.0,438787
30,30.0,851194.0,224114.0,444518.0,317372.0,45482.0,444518
31,31.0,808157.0,218474.0,448374.0,362193.0,43037.0,448374
32,32.0,768170.0,210802.0,450268.0,407958.0,39987.0,450268
33,33.0,730951.0,201908.0,449616.0,454723.0,37219.0,449616
34,34.0,696098.0,192055.0,447356.0,501689.0,34853.0,447356
35,35.0,664416.0,181340.0,443119.0,548323.0,31682.0,443119
36,36.0,634343.0,171177.0,436571.0,595107.0,30073.0,436571
37,37.0,607177.0,160252.0,428250.0,641519.0,27166.0,428250
38,38.0,581019.0,150665.0,417847.0,687667.0,26158.0,417847
39,39.0,554727.0,143414.0,406405.0,732652.0,26292.0,406405
40,40.0,527657.0,138517.0,394024.0,777000.0,27070.0,394024
41,41.0,500659.0,134510.0,381962.0,820067.0,26998.0,381962
42,42.0,473348.0,131964.0,369527.0,862359.0,27311.0,369527
43,43.0,446801.0,129355.0,358334.0,902708.0,26547.0,358334
44,44.0,421828.0,125995.0,347266.0,942109.0,24973.0,347266
45,45.0,398759.0,121147.0,337105.0,980187.0,23069.0,337105
46,46.0,377812.0,115205.0,327118.0,1017063.0,20947.0,327118
47,47.0,359785.0,108017.0,316590.0,1052806.0,18027.0,316590
48,48.0,345112.0,98714.0,305797.0,1087575.0,14673.0,305797
49,49.0,333568.0,88739.0,293589.0,1121302.0,11544.0,293589
50,50.0,324818.0,78074.0,280611.0,1153695.0,8750.0,280611
51,51.0,317906.0,67606.0,266186.0,1185500.0,6912.0,266186
52,52.0,312144.0,58235.0,250989.0,1215830.0,5762.0,250989
53,53.0,307033.0,49927.0,235256.0,1244982.0,5111.0,235256
54,54.0,301453.0,44018.0,219141.0,1272586.0,5580.0,219141
55,55.0,295800.0,39768.0,202908.0,1298722.0,5653.0,202908
56,56.0,289762.0,36681.0,187167.0,1323588.0,6038.0,187167
57,57.0,283373.0,34519.0,172956.0,1346350.0,6389.0,172956
58,58.0,276808.0,33142.0,159648.0,1367600.0,6565.0,159648
59,59.0,270118.0,32140.0,147658.0,1387282.0,6690.0,147658
60,60.0,263332.0,31565.0,136554.0,1405747.0,6786.0,136554
61,61.0,256324.0,31480.0,126805.0,1422589.0,7008.0,126805
62,62.0,248507.0,31995.0,118495.0,1438201.0,7817.0,118495
63,63.0,239820.0,33360.0,111433.0,1452585.0,8687.0,111433
64,64.0,229769.0,35998.0,105354.0,1466077.0,10051.0,105354
65,65.0,218929.0,38841.0,100862.0,1478566.0,10840.0,100862
66,66.0,207217.0,42044.0,97678.0,1490259.0,11712.0,97678
67,67.0,192915.0,47012.0,95747.0,1501524.0,14302.0,95747
68,68.0,177197.0,52293.0,95469.0,1512239.0,15718.0,95469
69,69.0,160128.0,57715.0,96904.0,1522451.0,17069.0,96904
70,70.0,143199.0,61991.0,99396.0,1532612.0,16929.0,99396
71,71.0,126605.0,65295.0,102482.0,1542816.0,16594.0,102482
72,72.0,111455.0,66407.0,106226.0,1553110.0,15150.0,106226
73,73.0,97505.0,66169.0,109842.0,1563682.0,13950.0,109842
74,74.0,85589.0,63725.0,113394.0,1574490.0,11916.0,113394
75,75.0,75095.0,60411.0,115951.0,1585741.0,10494.0,115951
76,76.0,65057.0,57450.0,117382.0,1597309.0,10038.0,117382
77,77.0,55597.0,54429.0,117996.0,1609176.0,9460.0,117996
78,78.0,47420.0,50666.0,117966.0,1621146.0,8177.0,117966
79,79.0,39894.0,47152.0,116578.0,1633574.0,7526.0,116578
80,80.0,33271.0,43362.0,114389.0,1646176.0,6623.0,114389
81,81.0,27724.0,39479.0,111492.0,1658503.0,5547.0,111492
82,82.0,22991.0,35477.0,107960.0,1670770.0,4733.0,107960
83,83.0,19212.0,31491.0,103740.0,1682755.0,3779.0,103740
84,84.0,16279.0,27358.0,99236.0,1694325.0,2933.0,99236
85,85.0,13998.0,23426.0,94180.0,1705594.0,2281.0,94180
86,86.0,12178.0,19843.0,88730.0,1716447.0,1820.0,88730
87,87.0,10657.0,16875.0,82808.0,1726858.0,1521.0,82808
88,88.0,9643.0,14063.0,76757.0,1736735.0,1014.0,76757
89,89.0,8855.0,11526.0,70854.0,1745963.0,788.0,70854
90,90.0,8258.0,9438.0,65032.0,1754470.0,597.0,65032
